NOM,GENRE,TELEPHONE,LOCALISATION_ZONE,EST_USER_APP
Rami Rivera,Female,+42274127271,Rovaniemi,0
Zhang Gonzalez,Male,+31918066796,Utsjoki,0
Layla Al-Farsi,Male,+94565155708,Utsjoki,0
Ren Kobayashi,Female,+85673668695,Enontekiö,0
Nao Yamamoto,Male,+43622020100,Rovaniemi,1
Ava Rivera,Male,+20813380824,Kittilä,0
Ava Flores,Male,+17414108318,Kittilä,0
Noor Ito,Female,+86403434711,Inari,1
Ren Sharif,Female,+60627206135,Rovaniemi,0
Noor Davis,Male,+76321193337,Muonio,1
Min Smith,Female,+37126506183,Rovaniemi,1
Santiago Brown,Male,+93944746307,Kolari,0
Yara Gao,Female,+44654005178,Kemijärvi,0
Maria Haddad,Female,+91664516605,Kolari,0
Mia Martinez,Female,+19560982122,Utsjoki,0
Layla Watanabe,Female,+25991440090,Inari,0
Luis Xu,Female,+7423993917,Inari,0
Camila Yamamoto,Male,+56152402167,Utsjoki,0
Hassan Lin,Female,+35611812829,Kittilä,0
Zhang Rodriguez,Male,+20216032003,Kittilä,1
Wei Ito,Male,+11278621764,Enontekiö,1
Noah Xu,Male,+67476767524,Utsjoki,0
Mia Watanabe,Male,+20218994826,Sodankylä,0
Mateo Watanabe,Male,+50606758507,Rovaniemi,0
Oliver Zhou,Male,+46183673119,Kittilä,0
Noor Nakamura,Male,+40306169798,Utsjoki,0
Hassan Yamamoto,Female,+38198023619,Muonio,0
Sora Sabri,Female,+81130577922,Enontekiö,1
Wang Gao,Male,+82156229064,Rovaniemi,0
Maria Sanchez,Female,+48563419483,Kittilä,1
Ava Takahashi,Male,+63667981720,Rovaniemi,0
Hassan Smith,Female,+10466448118,Pajala,0
Tao Sabri,Female,+47765450306,Sodankylä,0
Aiko Sharif,Female,+14634242960,Muonio,1
Ren Ito,Female,+24495327841,Kittilä,0
Aiko Gao,Male,+17455987585,Inari,0
Isabella Zhao,Male,+78777347011,Kolari,0
Maria Gao,Female,+68508222919,Rovaniemi,0
Ava Sabri,Male,+53269726546,Enontekiö,1
Liu Torres,Male,+32121587744,Sodankylä,0
Santiago Zhou,Male,+95315385044,Muonio,0
Amir Miller,Male,+94655668776,Pajala,0
Hiroshi Sato,Female,+89300233349,Kolari,1
Nao Takahashi,Female,+17269312458,Kittilä,0
Diego Watanabe,Female,+65578398465,Kemijärvi,1
Maria Chen,Female,+97276919285,Kittilä,0
Elijah Smith,Male,+73560865428,Enontekiö,1
Sophia Sato,Male,+11868316846,Muonio,0
Elijah Wu,Female,+62758357293,Utsjoki,1
Lucia Xu,Female,+46125905521,Sodankylä,0
Oliver Brown,Female,+21757161571,Utsjoki,1
Luis Khalil,Female,+89717956998,Sodankylä,1
Carlos Flores,Male,+30434951179,Kolari,0
Mei Brown,Male,+42611020832,Utsjoki,0
Noor Miller,Female,+71740543954,Pajala,0
Valentina Watanabe,Male,+26452187148,Muonio,0
Yuki Sharif,Female,+76520602931,Muonio,0
Lucia Tanaka,Male,+91946456281,Sodankylä,1
Valentina Rahman,Female,+1163586885,Rovaniemi,0
Sara Ramirez,Male,+63877304343,Enontekiö,0
Ren Khalil,Male,+13882967082,Kittilä,0
Sora Nakamura,Male,+72260866638,Inari,0
Isabella Rivera,Male,+55459181791,Kemijärvi,0
Sara Haddad,Female,+63905463883,Rovaniemi,0
Wei Xu,Female,+27660871182,Kittilä,0
Layla El-Amin,Male,+50380170013,Kemijärvi,0
Rami Zhao,Female,+64130076762,Muonio,0
Maria Garcia,Male,+12906486886,Sodankylä,1
Maria Flores,Female,+6871888040,Pajala,1
Sophia El-Amin,Female,+52252061149,Sodankylä,1
Mei Tanaka,Male,+12660513597,Inari,0
Luis Wu,Female,+1388909929,Kittilä,1
Yara Takahashi,Male,+66335002328,Kemijärvi,0
Luis Ito,Female,+67793711000,Enontekiö,1
Yuki Aziz,Male,+82702303077,Pajala,0
Mei Khalil,Male,+7294306208,Rovaniemi,0
Yuki Lin,Female,+75373149977,Utsjoki,1
Hiroshi Xu,Male,+78367907208,Kittilä,1
Wang Fahmi,Female,+46653302091,Enontekiö,1
Maria Watanabe,Male,+22798533528,Pajala,0
Takumi Rivera,Female,+52641490931,Kittilä,0
Zayn Kato,Male,+98832067473,Rovaniemi,0
Ava El-Amin,Female,+21732705619,Muonio,1
Takumi Mendoza,Female,+30202961111,Kittilä,0
Ren Kobayashi,Female,+95412559197,Kolari,0
Takumi Xu,Male,+2392486541,Kemijärvi,0
Yuki Jones,Male,+25729745450,Kemijärvi,1
Aisha Miller,Female,+52859612768,Utsjoki,0
Hua Lin,Female,+59760182706,Sodankylä,1
Aiko Aziz,Female,+52243924328,Pajala,0
Diego Lopez,Male,+96819583762,Sodankylä,0
Liu Sharif,Male,+3932484180,Inari,1
Elijah Martinez,Male,+73896184344,Kittilä,1
Hua Perez,Male,+85386050641,Kittilä,1
Takumi Gao,Female,+26571391087,Kolari,0
Oliver Torres,Female,+47389642187,Inari,0
Santiago Lin,Female,+45709953768,Pajala,0
Sophia Rahman,Male,+50121017713,Rovaniemi,0
Jose Haddad,Female,+60715118414,Kemijärvi,0
Sara Gao,Male,+66453761860,Pajala,1
Noah Rivera,Male,+38553839175,Inari,0
Diego Ramirez,Male,+77679560690,Kolari,1
Luis Takahashi,Male,+53551583845,Sodankylä,0
Yara Rivera,Female,+34280124591,Enontekiö,0
Sara Mendoza,Male,+84906018673,Utsjoki,0
Wei Yamamoto,Female,+73107243158,Kolari,0
Hassan Ramirez,Male,+71837033224,Sodankylä,0
Noah Al-Farsi,Male,+64227964084,Kemijärvi,0
Luis Nasr,Female,+76473698125,Sodankylä,1
Oliver Lin,Male,+35168234769,Kemijärvi,0
Santiago Rivera,Male,+86537829516,Muonio,0
