NOM,GENRE,TELEPHONE,LOCALISATION_ZONE,EST_USER_APP
Rami Rivera,Female,42274127271,Kolari_FI,0
Zhang Gonzalez,Male,31918066796,Muonio_FI,0
Layla Al-Farsi,Male,94565155708,Kittilae_FI,0
Ren Kobayashi,Female,85673668695,Kolari_FI,0
Nao Yamamoto,Male,43622020100,Lyngseidet_NO,1
Ava Rivera,Male,20813380824,Enontekioe_FI,0
Ava Flores,Male,17414108318,Kittilae_FI,0
Noor Ito,Female,86403434711,Kittilae_FI,1
Ren Sharif,Female,60627206135,Kolari_FI,0
Noor Davis,Male,76321193337,Olderdalen_NO,1
Min Smith,Female,37126506183,Lyngseidet_NO,1
Santiago Brown,Male,93944746307,Kolari_FI,0
Yara Gao,Female,44654005178,Lyngseidet_NO,0
Maria Haddad,Female,91664516605,Lyngseidet_NO,0
Mia Martinez,Female,19560982122,Enontekioe_FI,0
Layla Watanabe,Female,25991440090,Kittilae_FI,0
Luis Xu,Female,7423993917,Muonio_FI,0
Camila Yamamoto,Male,56152402167,Enontekioe_FI,0
Hassan Lin,Female,35611812829,Enontekioe_FI,0
Zhang Rodriguez,Male,20216032003,Lyngseidet_NO,1
Wei Ito,Male,11278621764,Hatteng_NO,1
Noah Xu,Male,67476767524,Kittilae_FI,0
Mia Watanabe,Male,20218994826,Olderdalen_NO,0
Mateo Watanabe,Male,50606758507,Enontekioe_FI,0
Oliver Zhou,Male,46183673119,Muonio_FI,0
Noor Nakamura,Male,40306169798,Hatteng_NO,0
Hassan Yamamoto,Female,38198023619,Hatteng_NO,0
Sora Sabri,Female,81130577922,Olderdalen_NO,1
Wang Gao,Male,82156229064,Enontekioe_FI,0
Maria Sanchez,Female,48563419483,Muonio_FI,1
Ava Takahashi,Male,63667981720,Kittilae_FI,0
Hassan Smith,Female,10466448118,Pajala_SE,0
Tao Sabri,Female,47765450306,Muonio_FI,0
Aiko Sharif,Female,14634242960,Olderdalen_NO,1
Ren Ito,Female,24495327841,Hatteng_NO,0
Aiko Gao,Male,17455987585,Kittilae_FI,0
Isabella Zhao,Male,78777347011,Muonio_FI,0
Maria Gao,Female,68508222919,Pajala_SE,0
Ava Sabri,Male,53269726546,Pajala_SE,1
Liu Torres,Male,32121587744,Lyngseidet_NO,0
Santiago Zhou,Male,95315385044,Lyngseidet_NO,0
Amir Miller,Male,94655668776,Kolari_FI,0
Hiroshi Sato,Female,89300233349,Olderdalen_NO,1
Nao Takahashi,Female,17269312458,Enontekioe_FI,0
Diego Watanabe,Female,65578398465,Muonio_FI,1
Maria Chen,Female,97276919285,Muonio_FI,0
Elijah Smith,Male,73560865428,Enontekioe_FI,1
Sophia Sato,Male,11868316846,Kolari_FI,0
Elijah Wu,Female,62758357293,Hatteng_NO,1
Lucia Xu,Female,46125905521,Hatteng_NO,0
Oliver Brown,Female,21757161571,Kolari_FI,1
Luis Khalil,Female,89717956998,Hatteng_NO,1
